Sr. No, Item,Price,Shipping Price
1,Corsair Gaming K70 LUX Mechanical Keyboard Backlit Red LED Cherry MX Red (CH-9101020-NA),$99.99 ,Free Shipping
2,MasterKeys Lite L Combo RGB Keyboard and Mouse  Mem-chanical Switches  Zoned Brilliant RGB Lighting  Precision Optical Sensor with On-the-fly DPI Settings by Cooler Master,$54.99 (,Free Shipping
3,G.SKILL RIPJAWS KM570 MX Mechanical Gaming Keyboard - Cherry MX Brown,$89.99 (,Free Shipping
4,Corsair Gaming K70 RGB RAPIDFIRE Mechanical Keyboard  Backlit RGB LED  Cherry MX Speed RGB,$139.99 ,Free Shipping
5,Corsair Gaming STRAFE Mechanical Gaming Keyboard - Cherry MX Red,$99.99 (,Free Shipping
6,G.SKILL RIPJAWS KM780 MX Mechanical Gaming Keyboard - Cherry MX Blue with Gaming Keycaps,$104.99 ,Free Shipping
7,G.SKILL RIPJAWS KM780 MX Mechanical Gaming Keyboard - Cherry MX Brown with Gaming Keycaps,$79.99 ,Free Shipping
8,G.SKILL RIPJAWS KM570 MX Mechanical Gaming Keyboard - Cherry MX Red,$79.99 (,Free Shipping
9,G.SKILL RIPJAWS KM570 MX Mechanical Gaming Keyboard - Cherry MX Blue,$79.99 (,Free Shipping
10,G.SKILL RIPJAWS KM780R RGB Mechanical Gaming Keyboard - Cherry MX Red,$134.99 ,Free Shipping
11,G.SKILL RIPJAWS KM570 RGB Mechanical Gaming Keyboard - Cherry MX RGB Brown,$109.99 ,Free Shipping
12,Devastator II LED Gaming Keyboard and Mouse Combo Bundle with Blue LED Edition by Cooler Master,$29.99 (,Free Shipping
13,Logitech G910 Orion Spark RGB Mechanical Gaming Keyboard,$139.99 ,Free Shipping
14,Corsair Vengeance K65 Compact Mechanical Gaming Keyboard - Cherry MX Red Switches,$59.99 (,Free Shipping
15,Logitech G810 Orion Spectrum RGB Mechanical Gaming Keyboard,$129.99 ,Free Shipping
16,Tt eSPORTS Challenger Prime Backlit Gaming Keyboard,$29.99 (,Free Shipping
17,RAZER Blackwidow Tournament Edition Gaming Mechanical Keyboard,$74.99 (,Free Shipping
18,Logitech G105 Illuminated USB Gaming Keyboard,$45.99 (,Free Shipping
19,Devastator II  LED Gaming Keyboard and Mouse Combo Bundle with Red LED Edition by Cooler Master,$29.99 (,Free Shipping
20,Corsair Gaming K55 RGB Keyboard  Backlit RGB LED,$49.99 (,Free Shipping
21,GAMDIAS GKC6001 ARES 7 Color Essential Membrane Gaming Keyboard& 3200 DPI Optical Mouse Combo,$20.87 (,Free Shipping
22,G.SKILL RIPJAWS KM780 RGB Mechanical Gaming Keyboard - Cherry MX Brown with Gaming Keycaps,$139.99 ,Free Shipping
23,Razer Blackwidow Chroma V2 – RGB Mechanical Gaming Keyboard – Green Switch,$169.99 ,Free Shipping
24,Logitech G410 Atlas Spectrum RGB Tenkeyless Gaming Keyboard,$74.95 (,Free Shipping
25,Devastator II  LED Gaming Keyboard and Mouse Combo Bundle with Green LED Edition by Cooler Master,$29.99 (,Free Shipping
26,Corsair Gaming K70 LUX RGB Mechanical Gaming Keyboard Cherry MX Brown (CH-9101012-NA),$129.99 ,Free Shipping
27,Corsair Gaming K70 LUX RGB Mechanical Gaming Keyboard Cherry MX RGB Red (CH-9101010-NA),$159.99 ,Free Shipping
28,Corsair Gaming STRAFE RGB Mechanical Gaming Keyboard - Cherry MX Red,$139.99 ,Free Shipping
29,Corsair Gaming K95 RGB PLATINUM Mechanical Keyboard  Backlit RGB LED  Cherry MX Speed  Black,$199.99 ,Free Shipping
30,Corsair Gaming STRAFE Mechanical Gaming Keyboard - Cherry MX Brown,$79.99 (,Free Shipping
31,Razer Ornata Chroma - RGB Mecha-Membrane Gaming Keyboard with Mid-Height Keycaps,$99.99 (,Free Shipping
32,Corsair Gaming STRAFE MX Silent Mechanical Keyboard  Backlit Red LED  Cherry MX Silent,$79.99 (,Free Shipping
33,Corsair Gaming K70 LUX Mechanical Keyboard Backlit Red LED Cherry MX Red (CH-9101020-NA),$99.99 (,Free Shipping
34,MasterKeys Pro S Mechanical Keyboard with Intelligent RGB  Cherry MX Brown Switches  Multiple Lighting Modes and 80% Layout,$129.99 ,Free Shipping
35,Logitech G610 Orion Brown  Mechanical Gaming Keyboard with White LED,$79.99 (,Free Shipping
36,Corsair Gaming STRAFE RGB Mechanical Gaming Keyboard - Cherry MX Brown,$139.99 ,Free Shipping
37,Rosewill Mechanical Gaming Keyboard with Cherry MX Brown Switches - Retail - RK-9300 BR,$79.99 ,Free Shipping
38,Corsair Gaming K70 LUX Mechanical Keyboard Backlit Red LED Cherry MX Red (CH-9101020-NA),$99.99 ,Free Shipping
