Sr. No, Item,Price,Shipping Price
1,SAMSUNG 390 Series C24F390 Glossy Black 24" 4ms HDMI Widescreen LCD/LED Monitor  AMD FreeSync  250cd/m2 DCR Mega Infinity (3000:1)  VESA Mountable  D-Sub  HDMI,$169.99 ,$0.99 Shipping
2,AOC G2460PG 24" 1ms (GTG) 144 Hz Gaming Monitor  NVIDIA G-SYNC  NVIDIA 3D Vision Ready  Ultra Low Motion Blur (ULMB) Technology  Height Adjustment  VESA Mountable  USB 3.0 and DisplayPort,$394.32 ,Free Shipping
3,SAMSUNG 350 Series S19F350 Glossy Black 18.5" 14ms Widescreen LED Backlight LCD Monitor PLS,$79.99 ,Free Shipping
4,AOC E2476VWM6 24" 1ms Black Full HD 1080P Anti-Blue Light Monitor  1920 x 1080  20 000 000:1  250 cd/m2  16:9  HDMI  VGA,$139.99 ,Free Shipping
5,LG 34UC87M-B Black 34" 5m (GTG) Curved Monitor 300 cd/m2 IPS Panel HDMI/ Thunderbolt ports DCR Mega Infinity,$719.99 ,Free Shipping
6,Samsung S24E650BW 24" LED LCD Monitor - 16:10 - 4 ms,,Free Shipping
7,SAMSUNG S24E370DL Glossy White PLS 23.6" 4ms Widescreen LED Backlight LCD Monitor; Free-Sync Compatible w/ Wireless Phone Charging Capability,$149.99 ,Free Shipping
8,Planar PLL2210W 22" Edge LED LCD Monitor - 16:9 - 5 ms,$94.56 (,$6.99 Shipping
9,ViewSonic VX2270Smh-LED 22" Full HD 1080P SuperClear IPS 178/178 Viewing Angles Monitor  1000:1  250cd/m2  HDMI&VGA&DVI-D  Built-in Speaker,$129.99 ,Free Shipping
10,ViewSonic VG2239SMH Black 21.5" 6.5ms HDMI Widescreen LED LCD Monitor  250 cd/m2  20 000 000:1 (3000:1)  Dual speakers  HDMI  DP  D-Sub  USB  Tile  Height  Swivel and Pivot Adjustable  VESA Mountable,$153.06 ,Free Shipping
11,SCEPTRE E225W-1920R Black 21.5" 5ms (GTG)  Widescreen LED/LCD Monitor  230 cd/m2 DCR 5 000 : 1  with 178/178 Viewing Angle  VESA Mountable  HDMI VGA,$99.99 ,Free Shipping
12,LG 24MC37D-B  Black 23.5" 5ms (GTG) IPS Widescreen LED Backlight LCD Monitor  Full HD 1920 x1080  w/Flicker Safe Technology and Color Wizard Mode,$123.69 ,Free Shipping
13,Planar PXN2770MW 27" IPS Full HD Professional Monitor 1920x1080  14ms Response Time  1000:1 Contrast  HDMI  DisplayPort  VGA  VESA Mountable,$199.99 ,Free Shipping
14,NEC EA223WM-BK 22" Black Widescreen LED Backlight TN Monitor  1680 x 1050  1000:1  250cd/m2  D-Sub&DVI&USB Display Port  Built-in Speaker,$241.38 ,Free Shipping
15,BenQ GL2460HM Black 24" TN 2ms (GTG) LCD/LED Monitor  250 cd/m2 DCR 12 000 000:1 (1 000:1)  Built-in Speakers  VESA Mountable  HDMI  DVI,$139.99 ,Free Shipping
16,ASUS MG248Q Black 24" 144Hz 1ms(GTG) Adaptive-Sync (Free Sync) LCD/LED Gaming Monitor  HDMI 1920x1080  w/ Asus Excusive GamePlus and Flicker Free Technology  Pivot&Height Adjustment  Built-in Speakers,$299.99 ,Free Shipping
17,ASUS VS Series VS247H-P Black 23.6" 2ms LED Backlight Widescreen LCD Monitor,$139.99 ,Free Shipping
18,SAMSUNG S24E310HL Black 23.6" 8ms HDMI Widescreen LED Backlight LCD Monitor,$129.99 ,Free Shipping
19,ViewSonic VX2475Smhl-4K 24" 3840 x 2160 (4K) PLS Monitor  1000:1  300cd/m2  HDMI & HDMI MHL Display Port  Built-in Internal Speaker  VESA Mountable,$379.99 ,Free Shipping
20,ViewSonic VA2265SMH Black 22" (21.5" Viewable) 6.5ms HDMI LED Backlight LCD Full HD1080P Monitor  250 cd/m2 3000:1  D-Sub  HDMI  VESA-Mountable,$116.84 ,$1.99 Shipping
21,LG 24MC57HQ-P Glossy Black 23.8" 5ms Widescreen IPS Multi-Tasking Monitor DFC 5 000 000:1 (1000:1) HDMI 1920 x1080 w/ 4-screen Split,$109.99 ,Free Shipping
22,Acer GN246HL Black 24" Gaming Monitors  144 Hz 1ms (GTG)  LED Backlight LCD Monitor Provide Immersive 3D Image,$199.99 ,Free Shipping
23,Acer XG270HU 27" 1ms HDMI DisplayPort Widescreen LED Backlight LCD Monitor Edge-to-Edge Frameless Design,$449.99 ,Free Shipping
